mode,question,answer
Academic,What is the grading system?,"LPU follows a 10-point CGPA system. Grades: A+ (90-100%, 10 points), A (80-89%, 9 points), B+ (70-79%, 8 points), B (60-69%, 7 points), C+ (50-59%, 6 points), C (40-49%, 5 points), F (<40%, 0 points). CGPA formula: Sum of (Grade Points × Credits) / Total Credits. Minimum 5.0 CGPA required for degree. Internationally recognized system helps in global admissions."
Academic,How to check attendance?,"Access UMS portal at ums.lpu.in, login with registration number and password, go to 'My Attendance' section. View subject-wise attendance percentage for theory and practical separately. Minimum 75% required for exam eligibility. System sends alerts at 80%. Parents can track via ERP. Update real-time after each class. For discrepancies, contact faculty with proof."
Academic,When are semester exams?,"Odd Semester End-Terms: November-December, Mid-Terms: September. Even Semester End-Terms: April-May, Mid-Terms: February-March. Dates announced 30 days advance on UMS. Date sheet uploaded 15 days before exams. Supplementary exams in June-July. Check academic calendar on website regularly."
Academic,What is credit system?,"CBCS system: 1 credit = 1 hour theory/week OR 2 hours practical/week. <br>BTech needs ~160 credits, MBA needs 60-72 credits. Pass requires 40% theory + 40% practical + 50% overall. Failed courses must be repeated. CGPA = Σ(Grade Points × Credits)/ΣCredits. Credits transfer possible with approval. System allows flexible pacing."
Academic,How to apply for re-evaluation?,"Apply within 10 days of result via UMS portal. Fee: Rs.1,000/subject. Process: Login→Examination→Re-evaluation→Select Subject→Pay→Download receipt. Results in 30 days. Checks: mark addition, transfer, unevaluated portions. Marks may increase/decrease/same. Original marks retained if decreased. Can view answer script for Rs.500. Contact exam dept for queries."
Academic,What is passing criteria?,"Requirements: 40% minimum in BOTH theory and practical separately + 50% overall aggregate + 75% attendance mandatory + Grade C (5 points) minimum. Internal assessment 20% of total. Failed = backlog, max 3 attempts. Overall 5.0 CGPA needed for degree."
Academic,How to check timetable?,"UMS Portal: ums.lpu.in → My Timetable → View/Download PDF. Shows day-wise schedule, subjects, faculty, rooms, timings, credits. Color-coded theory/labs. Real-time updates. LPU Touch app for mobile with notifications. Physical boards in departments. Sync with Google Calendar possible. Check before each class for changes."
Academic,Library timings?,"Mon-Fri: 8AM-10PM. Sat-Sun: 9AM-6PM. Exam periods: 7AM-11PM. 24/7 reading rooms during exams. Digital library 24/7 online. Reference: 8AM-8PM. Circulation: 9AM-7PM. Discussion rooms: 9AM-8PM bookable. Collection: 1.5L books, 50K e-books, 15K journals. Free WiFi, printing, scanning available."
Academic,How many departments?,"50+ departments across faculties: Engineering (16 depts - CSE, ECE, Mech, Civil, Elect, Aerospace, etc.), Management (4 depts - MBA, Int'l Business), Computer App (3 depts - MCA, IT, Data Science), Pharma (5 depts), Hotel Mgmt (3 depts), Design (4 depts), Architecture, Arts (10+ depts), Sciences (11 depts), Agriculture (6 depts), Law, Education, Physiotherapy, Commerce, Economics. Each with dedicated labs, faculty, research facilities."
Academic,Can I change course?,"Possible in first semester with conditions: 70%+ in 12th, meet new course eligibility, seats available, no discipline issues. Apply via Academic Counselor with form, documents, fee (Rs.5K same school, Rs.10K different school). Processing 2-4 weeks. Fee difference adjustment. Some credits may transfer. Entrance test for some switches. Contact Student Welfare: 01824-404404."
